Token 	 	 Lexeme 

DEF	 	null
ID	 	SelectionSort
(	 	null
ID	 	int
[	 	null
]	 	null
ID	 	num
,	 	null
INT	 	null
ID	 	length
)	 	null
{	 	null
INT	 	null
ID	 	i
,	 	null
ID	 	j
ID	 	first
,	 	null
ID	 	temp
ID	 	i 
=	 	null
ID	 	length
WHILE	 	null
ID	 	I 
RO	 	GT
NUM	 	0
{	 	null
{	 	null
ID	 	first 
=	 	null
NUM	 	0
# 	 	 initialize to subscript of first element
ID	 	j 
=	 	null
NUM	 	1
WHILE	 	null
ID	 	j 
RO	 	LE
ID	 	i	
# 	 	# locate smallest between positions 1 and i.
{	 	null
IF	 	null
ID	 	num
[	 	null
ID	 	j
RO	 	LT
ID	 	num
[	 	null
ID	 	first
]	 	null
ID	 	first 
=	 	null
ID	 	j
ID	 	j 
=	 	null
ID	 	j 
+	 	null
NUM	 	1
}	 	null
ID	 	temp 
=	 	null
ID	 	num
[	 	null
ID	 	first
]	 	null
# 	 	 Swap smallest found with element in position i.
ID	 	num
[	 	null
ID	 	first
]	 	null
=	 	null
ID	 	num
[	 	null
ID	 	i
ID	 	num
[	 	null
ID	 	i
=	 	null
ID	 	temp
ID	 	i 
=	 	null
ID	 	i 
-	 	null
NUM	 	1
}	 	null
}	 	null
